NOMBRE LOCAL,INSTALACION DEPORTIVA,TIPO DE INSTALACIÓN,TIPO AP,ESPACIOS DEPORTIVOS,DISCIPLINAS DEPORTIVAS,FUNCIONAMIENTO,PLANIFICADA PARA INTERVENCIÓN,COORDENADAS X,COORDENADAS Y,INFRAESTRUCTURA INADECUADA,PROBLEMAS ESTRUCTURALES,RIESGO COLAPSO,NO CORRESPONDE A MANTENIMIENTO,ESPACIOS DEPORTIVOS INSUFICIENTES/INADECUADOS,REQUIERE REEMPLAZO,EDIFICACIÓN INADECUADA,MOTIVO,CONSERVACIÓN BLOQUE,SITUACION ESPACIOS DEPORTIVOS,SITUACION ESPACIOS COMPLEMENTARIOS,COMENTARIOS POR INSTALACIÓN DEPORTIVA,CONDICIÓN BIEN,ADM,NOMBRE PREDIO,TIPO BIEN,USO GENÉRICO,USO ESPECIFICO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,DIRECCIÓN,ÁREA M2,TIPO DOCUMENTO REGISTRAL,NÚMERO DOCUMENTO REGISTRAL,CONDICION SANEAMIENTO,TIPO CARGAS,ADM,NOMBRE INFRAESTRUCTURA,DIRECCION,SANEADO,CODIGO CONTRIBUYENTE,PARTIDA ELECTRONICA,AREA M2,NOMBRE PROPIETARIO,RESPONSABLE,CONDICION USO,CERTIFICADO ITSE,SITUACIÓN LEGAL DEL PREDIO,CONVENIOS,UCOM,GEOLOCALIZACION,INFORMACION ADICIONAL,DIRECCION,NOMBRE EDIFICACION,PRIORIZADA,TIPO,RESPONSABLE,ESPECIALIDAD,NRO APOYO,ÁREA,ITSE,FECHA LIMITE,PROGRAMA LA ACADEMIA,ESPECTADORES,DEPORTES,ESTADO INFRAESTRUCTURA,MTTO,OBSERVACIONES,DIAGNÓSTICO,AÑO,PROY.,CODIGO ÚNICO IDEA,SNIP
PISCINA MATUTE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA OLÍMPICA,NATACIÓN,SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,,INADECUADO,PRESENCIA DE FISURAS EN 70% DEL FONDO DE LOSA DE LA PISCINA,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO / CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA MATUTE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,LIMA,LIMA,LA VICTORIA,140106,UNIDAD VECINAL DE MATUTE,4193.26,PARTIDA ELECTRÓNICA,11757306,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
PISCINA MATUTE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA OLÍMPICA,NATACIÓN,SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,,INADECUADO,PRESENCIA DE FISURAS EN 70% DEL FONDO DE LOSA DE LA PISCINA,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA CAMPO DE MARTE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,LIMA,LIMA,JESÚS MARIA,150113,JR. NAZCA,21524.19,PARTIDA ELECTRÓNICA,11984841,SI,NO TIENE,,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
PISCINA MATUTE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE VOLEIBOL

SALA DE PRÁCTICA DEPORTIVA DE LUCHA LIBRE, KARATE (SALA FEDERATIVA)","VOLEIBOL

LUCHA LIBRE, KARATE",SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,,INADECUADO,PRESENCIA DE GRIETAS DE EXPANSION EN LOSAS DE PAÑOS DE LOSA DE CANCHA SINTETICA DE VOLEY Y EN PAÑOS DE LOSAS COLINDANTES,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PUEDE UTILIZARSE PARA MÚLTIPLES DISCIPLINAS DEPORTIVAS,PROPIO / CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA MATUTE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,LIMA,LIMA,LA VICTORIA,140106,UNIDAD VECINAL DE MATUTE,4193.26,PARTIDA ELECTRÓNICA,11757306,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
PISCINA MATUTE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE VOLEIBOL

SALA DE PRÁCTICA DEPORTIVA DE LUCHA LIBRE, KARATE (SALA FEDERATIVA)","VOLEIBOL

LUCHA LIBRE, KARATE",SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,,INADECUADO,PRESENCIA DE GRIETAS DE EXPANSION EN LOSAS DE PAÑOS DE LOSA DE CANCHA SINTETICA DE VOLEY Y EN PAÑOS DE LOSAS COLINDANTES,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PUEDE UTILIZARSE PARA MÚLTIPLES DISCIPLINAS DEPORTIVAS,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA CAMPO DE MARTE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,LIMA,LIMA,JESÚS MARIA,150113,JR. NAZCA,21524.19,PARTIDA ELECTRÓNICA,11984841,SI,NO TIENE,,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
MINICOMPLEJO DEPORTIVO LOS OLIVOS,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE FULBITO, CAMPO MENOR DE BASQUETBOL, CAMPO MENOR DE VOLEIBOL, PISTA DE ATLETISMO","FULBITO, BASQUETBOL, VOLEIBOL, ATLETISMO",SI,,"-77,08116046","-11,97320826",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,CAMPO DEPORTIVO EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PISTA DE ATLETISMO DE CONCRETO DE 3 CARRILES,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO LOS OLIVOS,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,LIMA,LIMA,LOS OLIVOS,150117,"CALLE 18, LAS FLORES CON AV. HUANDOY S/N, URB. LOS NARANJOS III ETAPA",6191.7,PARTIDA ELECTRÓNICA,P01284176,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,"CALLE 31, CALLE LAS FLORES CON AV. LOS PROCERES DE HUANDOY S/N, URB. LOS NARANJOS III ETAPA",MINICOMPLEJO DEPORTIVO LOS OLIVOS,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
CLUB DEL PUEBLO CANTO GRANDE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO DEPORTIVO DE FÚTBOL, PISTA DE ATLETISMO, CAMPO MENOR DE BASQUETBOL, 2 CAMPOS MENORES DE FULBITO, CAMPO MENOR DE VOLEIBOL,  CAMPO MENOR DE TENIS DE CAMPO","FÚTBOL, ATLETISMO, BASQUETBOL, FULBITO, VOLEIBOL, TENIS DE CAMPO",SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,CAMPOS DEPORTIVOS EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,AV. WISSE Y AV. BAYOVAR,52118.08 (140782.18),PARTIDA ELECTRÓNICA,43160850,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,"45101,79",SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACIÓN","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
CLUB DEL PUEBLO CANTO GRANDE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO DEPORTIVO DE FÚTBOL, PISTA DE ATLETISMO, CAMPO MENOR DE BASQUETBOL, 2 CAMPOS MENORES DE FULBITO, CAMPO MENOR DE VOLEIBOL,  CAMPO MENOR DE TENIS DE CAMPO","FÚTBOL, ATLETISMO, BASQUETBOL, FULBITO, VOLEIBOL, TENIS DE CAMPO",SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,CAMPOS DEPORTIVOS EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,6399.47 (12000),PARTIDA ELECTRÓNICA,12356197,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,"45101,79",SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACIÓN","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
CLUB DEL PUEBLO CANTO GRANDE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,"PISCINA OLÍMPICA, PISCINA RECREATIVA",NATACIÓN,SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,PISCINA EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,AV. WISSE Y AV. BAYOVAR,52118.08 (140782.18),PARTIDA ELECTRÓNICA,43160850,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,"45101,79",SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACIÓN","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
CLUB DEL PUEBLO CANTO GRANDE,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,"PISCINA OLÍMPICA, PISCINA RECREATIVA",NATACIÓN,SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,PISCINA EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,6399.47 (12000),PARTIDA ELECTRÓNICA,12356197,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,"45101,79",SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACIÓN","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
MINI COMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE FÚTBOL, CAMPO MENOR DE BASQUETBOL, CAMPO MENOR DE VOLEIBOL","FÚTBOL, BASQUETBOL, VOLEIBOL",SI,,"-77,01370534","-11,87153937",NO,SI,SI,NO,NO,NO,NO,,INADECUADO,CAMPO DEPORTIVO EN BUEN ESTADO,CAMERINOS DESCUIDADOS,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,LIMA,LIMA,CARABAYLLO,150106,"AV. TUPAC AMARU S/N, M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR",4368.8,PARTIDA ELECTRÓNICA,P01177278,SI,NO TIENE,,,,,,,,,,,,,,,,,"M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR/AV. TUPAC AMARU S/N",MINI COMPLEJO DEPORTIVO SAN MARTÍN CARABAYLLO,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,1500,SIN ITSE,,,200,"FUTBOL, BASKET, VOLEY, BOX","OPERATIVO, EN USO. CAMPO DEPORTIVO EN BUEN ESTADO. AREA DE BOX EN BUEN ESTADO.",FALTA MTTO. DE TEMAS ESTRUCTURALES Y DE RIESGO. FALTA MTTO. DE CAMERINOS.,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
MINI COMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,INSTALACIÓN DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,SALA DE PRÁCTICA DEPORTIVA DE GIMNASIO,BOXEO,SI,,"-77,01370534","-11,87153937",NO,SI,SI,NO,NO,NO,NO,,INADECUADO,AREA DE BOX EN BUEN ESTADO,CAMERINOS DESCUIDADOS,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,LIMA,LIMA,CARABAYLLO,150106,"AV. TUPAC AMARU S/N, M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR",4368.8,PARTIDA ELECTRÓNICA,P01177278,SI,NO TIENE,,,,,,,,,,,,,,,,,"M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR/AV. TUPAC AMARU S/N",MINI COMPLEJO DEPORTIVO SAN MARTÍN CARABAYLLO,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN ,ARQUITECTO,07UM,1500,SIN ITSE,,,200,"FUTBOL, BASKET, VOLEY, BOX","OPERATIVO, EN USO. CAMPO DEPORTIVO EN BUEN ESTADO. AREA DE BOX EN BUEN ESTADO.",FALTA MTTO. DE TEMAS ESTRUCTURALES Y DE RIESGO. FALTA MTTO. DE CAMERINOS.,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,-,-
VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACIÓN DEPORTIVA DE COMPETENCIA,ESTADIO DE ATLETISMO,ESTADIO DE ATLETISMO,"CAMPOS DE ATLETISMO, PISTAS DE ATLETISMO",ATLETISMO,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,DESGASTE SIGNIFICATIVO EN PISTAS DE ATLETISMO,FALTA ESPACIOS DE ALMACENAMIENTO DE EQUIPAMIENTO DEPORTIVO,SE RECOMIENDA GESTIONAR LA CERTIFICACIÓN DE LA PÍSTAS DE ATLETISMO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,LIMA,LIMA,SAN LUIS,020701,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRÓNICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACIÓN DEPORTIVA DE COMPETENCIA,VELÓDROMO,VELÓDROMO,VELÓDROMO (01),CICLISMO,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,_,_,_,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,LIMA,LIMA,SAN LUIS,020701,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRÓNICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACIÓN DEPORTIVA DE COMPETENCIA,CENTRO ACUÁTICO,CENTRO ACUÁTICO,PISCINAS OLÍMPICAS,"NATACIÓN, NADO SINCRONIZADO, CLAVADOS",SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,_,_,_,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,LIMA,LIMA,SAN LUIS,020701,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRÓNICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACIÓN DEPORTIVA DE COMPETENCIA,CENTRO DE BOWLING,ESCENARIO DE BOWLING,PISTA DE BOWLING,BOWLING,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,SE TIENE 04 PISTAS INOPERATIVAS POR AVERIA EN CONTROLADORES (CHASIS),_,REQUIERE COMPRA DE REPUETOS PARA SU MANTENIMIENTO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,LIMA,LIMA,SAN LUIS,020701,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRÓNICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACIÓN DEPORTIVA DE COMPETENCIA,POLIDEPORTIVO DE COMPETENCIA,POLIDERPORTIVO 1,"SALAS DE PRÁCTICA DEPORTIVA DE HANDBALL, BASQUETBOL, GIMNASIA","POLIDEPORTIVO 1: HANDBALL, BASQUETBOL, GIMNASIA",SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,REQUIERE MANTENIMIENTO CORRECTIVO AL PISO DE MADERA,REQUIERE MANTENIMIENTO CORRECTIVO A LAS TRIBUNAS RETRÁCTILES,ESPACIOS DEPORTIVOS PARA DESARROLLO DE MULTIPLES DISCIPLINAS DEPORTIVAS,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,LIMA,LIMA,SAN LUIS,020701,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRÓNICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNÓSTICO,,NO HAY PROYECTO,,
